no_of_processes,avg_wait_time,avg_turnaround_time,context_switches
264,20845.162264150942,22533.728301886793,266
265,20935.146616541355,22622.48120300752,267
266,21025.029962546818,22711.134831460673,268
267,21116.981343283584,22801.861940298506,269
268,21207.661710037173,22891.31970260223,270
269,21299.748148148148,22982.18888888889,271
270,21391.767527675278,23072.9926199262,272
271,21486.46323529412,23166.477941176472,273
272,21579.849816849815,23258.652014652016,274
273,21674.700729927008,23352.28832116788,275
274,21770.418181818182,23446.78909090909,276
275,21867.536231884056,23542.692028985508,277
276,21963.56678700361,23637.50180505415,278
277,22061.0035971223,23733.712230215828,279
278,22157.516129032258,23829.0,280
279,22258.760714285716,23929.025,281
280,22356.88256227758,24025.925266903916,282
281,22454.173758865247,24122.0,283
282,22556.939929328622,24223.54770318021,284
283,22657.207746478874,24322.591549295776,285
284,22756.824561403508,24420.98947368421,286
285,22858.88811188811,24521.832167832166,287
286,22959.466898954703,24621.19163763066,288
287,23061.333333333332,24721.840277777777,289
288,23165.425605536333,24824.716262975777,290
289,23268.106896551722,24926.186206896553,291
290,23369.518900343643,25026.381443298967,292
291,23475.304794520547,25130.95205479452,293
292,23578.709897610923,25233.143344709897,294
293,23684.06462585034,25337.278911564626,295
294,23788.969491525422,25440.959322033897,296
295,23897.716216216217,25548.47972972973,297
296,24001.542087542086,25651.084175084176,298
297,24110.46644295302,25758.78187919463,299
298,24217.190635451505,25864.28093645485,300
299,24325.36,25971.22333333333,301
300,24434.259136212626,26078.89700996678,302
301,24542.281456953642,26185.692052980132,303
302,24651.993399339935,26294.178217821784,304
303,24761.56907894737,26402.52302631579,305
304,24873.954098360657,26513.675409836065,306
305,24982.88888888889,26621.37254901961,307
306,25095.771986970685,26733.01302931596,308
307,25206.545454545456,26842.5487012987,309
308,25322.906148867314,26957.67637540453,310
309,25432.9,27066.43870967742,311
310,25547.30225080386,27179.614147909968,312
311,25662.634615384617,27293.72435897436,313
312,25775.651757188498,27405.520766773163,314
313,25890.828025477706,27519.47770700637,315
314,26006.2126984127,27633.64761904762,316
315,26122.386075949365,27748.601265822785,317
316,26238.22397476341,27863.21451104101,318
317,26355.411949685535,27979.172955974842,319
318,26470.670846394984,28093.206896551725,320
319,26590.625,28211.9375,321
320,26707.30841121495,28327.395638629285,322
321,26827.043478260868,28445.9099378882,323
322,26947.653250773994,28565.297213622292,324
323,27067.182098765432,28683.60185185185,325
324,27187.132307692307,28802.326153846156,326
325,27310.29447852761,28924.257668711656,327
326,27433.93883792049,29046.666666666668,328
327,27555.89024390244,29167.38719512195,329
328,27677.951367781156,29288.215805471125,330
329,27803.68484848485,29412.72121212121,331
330,27926.4501510574,29534.256797583083,332
