no_of_processes,avg_wait_time,avg_turnaround_time,context_switches
263,1111791.330798479,1112114.9125475285,263
264,1123804.9015151516,1124129.696969697,264
265,1135748.0377358492,1136074.0490566038,264
266,1147823.6729323308,1148150.8984962406,265
267,1160117.4082397004,1160445.8539325842,266
268,1172587.1679104478,1172916.8395522388,267
269,1185160.3828996283,1185491.278810409,269
270,1197762.0592592594,1198094.1851851852,269
271,1210530.5830258303,1210863.9335793357,270
272,1223398.0625,1223732.6397058824,271
273,1236546.0586080586,1236881.857142857,272
274,1249809.003649635,1250146.0182481753,273
275,1263192.8327272728,1263531.058181818,274
276,1276830.8949275361,1277170.3260869565,275
277,1290622.263537906,1290962.8953068592,277
278,1304366.7913669064,1304708.6258992807,277
279,1318321.688172043,1318664.724014337,279
280,1332177.6892857142,1332521.9321428572,279
281,1346272.8042704626,1346618.2526690392,280
282,1360579.7056737589,1360926.354609929,282
283,1374780.4169611307,1375128.2650176678,282
284,1389170.8204225353,1389519.866197183,283
285,1403797.9894736842,1404148.2350877193,285
286,1418335.3986013986,1418686.8496503497,285
287,1433055.8222996516,1433408.4843205574,287
288,1447713.5902777778,1448067.4583333333,287
289,1462612.8166089966,1462967.8961937716,288
290,1477678.7034482758,1478034.9896551725,289
291,1492877.178694158,1493234.6701030927,290
292,1508329.0753424657,1508687.7739726028,291
293,1523940.6450511946,1524300.552901024,292
294,1539639.081632653,1540000.2040816327,293
295,1555674.7152542372,1556037.0508474577,295
296,1571601.6824324324,1571965.2297297297,296
297,1587405.5757575757,1587770.3367003368,296
298,1603577.05704698,1603943.033557047,297
299,1619791.72909699,1620158.923076923,299
300,1635924.19,1636292.6,299
301,1652402.4750830564,1652772.1029900333,302
302,1668504.7450331126,1668875.5927152317,301
303,1684752.4224422441,1685124.491749175,302
304,1701286.0394736843,1701659.3355263157,303
305,1717975.5081967213,1718350.0262295082,304
306,1734772.0947712418,1735147.8333333333,306
307,1751644.5439739414,1752021.5048859934,307
308,1768417.6655844157,1768795.844155844,307
309,1785301.4110032362,1785680.8090614886,308
310,1802485.406451613,1802866.0258064517,310
311,1819621.5884244372,1820003.4276527332,310
312,1836820.2083333333,1837203.266025641,311
313,1854316.840255591,1854701.1150159745,312
314,1872078.7165605095,1872464.213375796,314
315,1889664.3301587303,1890051.0444444444,314
316,1907524.4525316455,1907912.3829113925,316
317,1925312.593059937,1925701.7444794953,316
318,1943306.5094339622,1943696.8836477988,317
319,1961502.0219435736,1961893.617554859,318
320,1979952.590625,1980345.40625,319
321,1998591.890965732,1998985.925233645,321
322,2017102.093167702,2017497.341614907,321
323,2035916.3405572756,2036312.801857585,322
324,2054803.4166666667,2055201.0956790124,323
325,2073923.3784615383,2074322.276923077,325
326,2093156.8067484663,2093556.9202453988,327
327,2111938.229357798,2112339.5535168196,326
328,2130936.7073170734,2131339.2439024393,327
329,2150200.650455927,2150604.398176292,331
330,2168813.0424242425,2169217.996969697,329
331,2187677.329305136,2188083.486404834,330
332,2206727.5903614457,2207134.948795181,331
333,2225880.375375375,2226288.930930931,332
334,2245419.6467065867,2245829.404191617,333
335,2265071.0328358207,2265481.9970149253,335
336,2284594.6785714286,2285006.845238095,335
337,2304452.2670623143,2304865.6409495547,337
338,2324240.408284024,2324654.9911242602,338
339,2343860.6607669615,2344276.4542772863,338
340,2363903.344117647,2364320.3470588233,340
341,2383832.0029325513,2384250.2170087975,342
342,2403283.8099415204,2403703.236842105,341
343,2423070.775510204,2423491.411078717,343
344,2442971.447674419,2443393.2965116277,346
345,2462076.4434782607,2462499.5101449275,344
346,2481355.052023121,2481779.3410404623,345
347,2501009.9077809798,2501435.4207492797,348
348,2520384.540229885,2520811.2816091953,347
349,2539863.452722063,2540291.4269340974,348
350,2559531.4342857143,2559960.64,349
351,2579524.863247863,2579955.3048433047,351
352,2599444.21875,2599875.9005681816,351
353,2619500.895184136,2619933.8130311617,352
354,2639828.720338983,2640262.8700564974,353
355,2660429.2028169013,2660864.58028169,354
356,2681170.7078651683,2681607.308988764,355
357,2702124.504201681,2702562.3277310925,356
358,2723419.1675977656,2723858.2122905026,357
359,2744812.5793871866,2745252.841225627,358
360,2766558.8388888887,2767000.316666667,359
361,2788552.440443213,2788995.135734072,361
362,2810368.5607734807,2810812.4696132597,361
363,2832544.168044077,2832989.2920110193,365
364,2854119.0494505493,2854565.3873626376,364
365,2875661.983561644,2876109.5342465756,364
366,2897353.8579234974,2897802.6174863386,365
367,2919266.7847411446,2919716.7547683925,366
368,2941571.285326087,2942022.464673913,368
369,2963708.5853658537,2964160.978319783,368
370,2986079.2027027025,2986532.808108108,369
371,3008727.6442048517,3009182.4582210244,371
372,3031265.389784946,3031721.4086021506,371
373,3054103.152815013,3054560.3753351206,372
374,3077170.871657754,3077629.3021390373,374
375,3100088.541333333,3100548.176,374
376,3123363.0558510637,3123823.890957447,376
377,3146485.872679045,3146947.907161804,376
378,3169885.8915343913,3170349.126984127,377
379,3193510.580474934,3193975.018469657,379
380,3217107.639473684,3217573.2789473683,379
381,3240985.120734908,3241451.9632545933,380
382,3264977.615183246,3265445.657068063,381
383,3289229.409921671,3289698.652741514,382
384,3313865.0729166665,3314335.515625,383
385,3338528.3324675323,3338999.974025974,384
386,3363501.054404145,3363973.89119171,385
387,3388812.6485788114,3389286.684754522,387
388,3413860.881443299,3414336.1159793814,387
389,3439297.8688946017,3439774.300771208,388
390,3464972.0487179486,3465449.6794871795,389
391,3490733.5217391304,3491212.3554987214,390
392,3516907.2780612246,3517387.31122449,391
393,3543280.4122137404,3543761.6412213743,392
394,3569777.4162436547,3570259.842639594,393
395,3596670.481012658,3597154.101265823,394
396,3623939.487373737,3624424.297979798,397
397,3650571.637279597,3651057.6397984885,396
398,3677660.753768844,3678147.944723618,399
399,3704350.388471178,3704838.769423559,399
400,3730768.2575,3731257.825,399
401,3757629.3416458853,3758120.094763092,400
402,3784637.223880597,3785129.1616915422,402
403,3811573.8858560794,3812067.012406948,403
404,3838592.923267327,3839087.2351485146,404
405,3865354.1679012347,3865849.6691358024,404
406,3892432.6748768473,3892929.3645320195,406
407,3919570.8746928745,3920068.7493857495,406
408,3946778.8970588236,3947277.9583333335,407
409,3974265.129584352,3974765.378973105,408
410,4002096.456097561,4002597.8902439023,411
411,4029414.133819951,4029916.7518248176,410
412,4057044.4830097086,4057548.281553398,411
413,4084972.0024213074,4085476.9830508474,414
414,4112343.5144927534,4112849.6811594204,413
415,4140143.4674698794,4140650.81686747,414
416,4168086.076923077,4168594.608173077,415
417,4196299.045563549,4196808.757793765,416
418,4224829.988038277,4225340.8827751195,419
419,4252917.062052506,4253429.140811455,418
420,4281284.233333333,4281797.492857143,419
421,4309941.976247031,4310456.413301663,420
422,4338783.030805687,4339298.6421800945,421
423,4367922.829787234,4368439.612293144,422
424,4397371.867924528,4397889.8183962265,425
425,4426371.828235294,4426890.948235294,424
426,4455587.640845071,4456107.929577465,426
427,4484783.196721312,4485304.6510538645,426
428,4514240.343457944,4514762.964953271,427
429,4543945.435897436,4544469.223776224,428
430,4573942.072093023,4574467.025581395,429
431,4604208.071925754,4604734.192575406,430
432,4634611.685185186,4635138.972222222,431
433,4665401.103926097,4665929.556581986,432
434,4696507.050691244,4697036.67281106,433
435,4727700.5425287355,4728231.333333333,434
436,4759335.422018348,4759867.380733945,436
437,4790825.81006865,4791358.935926774,436
438,4822490.719178082,4823025.01369863,437
439,4854613.553530752,4855149.01594533,439
440,4886631.788636364,4887168.420454546,440
441,4918465.242630386,4919003.047619048,440
442,4950551.57239819,4951090.5497737555,441
443,4983138.002257336,4983678.151241535,443
444,5015377.810810811,5015919.128378378,443
445,5048084.964044943,5048627.447191011,445
446,5080643.8340807175,5081187.484304933,445
447,5113432.673378076,5113977.489932886,446
448,5146632.633928572,5147178.620535715,447
449,5180011.267260579,5180558.425389755,448
450,5213654.095555556,5214202.422222222,449
451,5247724.849223947,5248274.341463415,450
452,5281899.716814159,5282450.376106195,451
453,5316330.863134658,5316882.693156733,452
454,5351227.416299559,5351780.416299559,453
455,5386383.947252748,5386938.118681319,455
456,5421261.111842105,5421816.451754386,455
457,5456644.514223195,5457201.024070022,456
458,5492199.995633188,5492757.674672489,459
459,5527309.925925926,5527868.77124183,458
460,5562952.773913044,5563512.789130434,461
461,5597920.1800433835,5598481.368763558,462
462,5632421.686147186,5632984.047619048,462
463,5667151.6803455725,5667715.213822894,463
464,5701517.463362069,5702082.1659482755,463
465,5736158.043010753,5736723.911827957,464
466,5771168.763948498,5771735.800429185,465
467,5806478.413276231,5807046.618843683,466
468,5841940.094017094,5842509.47008547,467
469,5877970.456289979,5878541.004264392,468
470,5914221.302127659,5914793.021276596,471
471,5949717.2802547775,5950290.167728238,470
472,5985955.794491526,5986529.849576271,473
473,6021634.883720931,6022210.109936575,472
474,6057238.358649789,6057814.755274261,473
475,6093368.56631579,6093946.1326315785,474
476,6130184.777310925,6130763.516806723,480
477,6164972.769392033,6165552.685534591,476
478,6200155.512552301,6200736.608786611,477
479,6236069.434237996,6236651.713987474,482
480,6270501.645833333,6271085.10625,479
481,6305038.286902287,6305622.927234927,480
482,6340032.549792531,6340618.3672199175,482
483,6375037.751552795,6375624.745341615,482
484,6410147.545454546,6410735.714876033,483
485,6445500.93814433,6446090.286597938,484
486,6481477.004115227,6482067.532921811,485
487,6517486.542094456,6518078.250513347,486
488,6553731.764344262,6554324.6495901635,487
489,6590504.00204499,6591098.065439673,488
490,6627400.810204081,6627996.0530612245,489
491,6664607.965376782,6665204.391038696,490
492,6702184.613821139,6702782.221544716,493
493,6739226.028397566,6739824.821501014,492
494,6776749.900809716,6777349.876518219,493
495,6814338.228282828,6814939.387878788,496
496,6851580.4072580645,6852182.754032258,496
497,6888852.939637827,6889456.476861167,496
498,6926268.875502008,6926873.602409638,497
499,6963972.751503006,6964578.671342686,499
500,7001774.21,7002381.324,500
